P1        	P2      	P3       	O            	D	std(D)	Z	BABA	ABBA	nloci	nboot	pdisc	notes
[HNDA09]  	[CUCA4] 	[FLSF47] 	[AR,EN,DO,DU]	0.305	0.040	7.70	275.75	518.25	8781	200	0.11	test 9.89
[HNDA09]  	[CUCA4] 	[FLMO62] 	[AR,EN,DO,DU]	0.279	0.040	7.03	263.50	467.00	8653	200	0.10	test 9.90
[HNDA09]  	[CUCA4] 	[FLSA185]	[AR,EN,DO,DU]	0.244	0.045	5.46	228.88	376.62	7183	200	0.10	test 9.91
[HNDA09]  	[CUCA4] 	[FLCK216]	[AR,EN,DO,DU]	0.318	0.044	7.28	246.75	476.50	8073	200	0.11	test 9.92
[HNDA09]  	[CUCA4] 	[FLAB109]	[AR,EN,DO,DU]	0.358	0.034	10.68	332.00	702.50	10079	200	0.12	test 9.93
[HNDA09]  	[CUCA4] 	[FLWO6]  	[AR,EN,DO,DU]	0.413	0.034	11.99	223.88	539.12	8356	200	0.11	test 9.94
[HNDA09]  	[CUCA4] 	[FLSF54] 	[AR,EN,DO,DU]	0.384	0.032	12.11	304.50	683.75	9557	200	0.12	test 9.95
[HNDA09]  	[CUCA4] 	[FLCK18] 	[AR,EN,DO,DU]	0.356	0.038	9.47	247.12	519.88	8498	200	0.11	test 9.96
[HNDA09]  	[CUCA4] 	[LALC2]  	[AR,EN,DO,DU]	0.235	0.034	6.97	395.38	638.38	10634	200	0.12	test 9.97
[HNDA09]  	[CUCA4] 	[FLSF33] 	[AR,EN,DO,DU]	0.278	0.039	7.13	287.50	509.25	8307	200	0.11	test 9.98
[HNDA09]  	[CUCA4] 	[FLBA140]	[AR,EN,DO,DU]	0.254	0.035	7.16	385.62	647.88	9892	200	0.12	test 9.99
[CRL0001] 	[CUSV6] 	[FLSF47] 	[AR,EN,DO,DU]	0.343	0.033	10.28	353.75	723.25	10790	200	0.11	test 9.100
[CRL0001] 	[CUSV6] 	[FLMO62] 	[AR,EN,DO,DU]	0.258	0.033	7.87	369.75	626.25	10557	200	0.11	test 9.101
[CRL0001] 	[CUSV6] 	[FLSA185]	[AR,EN,DO,DU]	0.174	0.043	4.10	338.12	480.88	8766	200	0.11	test 9.102
[CRL0001] 	[CUSV6] 	[FLCK216]	[AR,EN,DO,DU]	0.320	0.034	9.42	346.62	672.38	9784	200	0.12	test 9.103
[CRL0001] 	[CUSV6] 	[FLAB109]	[AR,EN,DO,DU]	0.371	0.029	12.99	433.38	944.12	12471	200	0.12	test 9.104
[CRL0001] 	[CUSV6] 	[FLWO6]  	[AR,EN,DO,DU]	0.353	0.031	11.23	339.75	711.25	10126	200	0.12	test 9.105
[CRL0001] 	[CUSV6] 	[FLSF54] 	[AR,EN,DO,DU]	0.425	0.026	16.17	389.25	964.50	11940	200	0.13	test 9.106
[CRL0001] 	[CUSV6] 	[FLCK18] 	[AR,EN,DO,DU]	0.340	0.037	9.15	362.50	735.25	10329	200	0.12	test 9.107
[CRL0001] 	[CUSV6] 	[LALC2]  	[AR,EN,DO,DU]	0.353	0.028	12.70	443.12	927.62	13100	200	0.12	test 9.108
[CRL0001] 	[CUSV6] 	[FLSF33] 	[AR,EN,DO,DU]	0.280	0.032	8.71	379.50	675.25	10172	200	0.12	test 9.109
[CRL0001] 	[CUSV6] 	[FLBA140]	[AR,EN,DO,DU]	0.276	0.030	9.30	487.50	859.50	12282	200	0.12	test 9.110
